deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.24280548;47.82299900;-0.00120529;-0.01580048;-1.47739434;0.00580042;0.00552119;-0.00522641 
0.24456954;48.06756854;-0.00137623;-0.01603092;-1.47714901;-0.00123854;-0.00008704;0.00891414 
0.24836540;48.31593394;-0.00128717;-0.01612416;-1.47705209;-0.00130992;-0.00388293;0.00774659 
0.24645448;48.56238842;-0.00120118;-0.01602197;-1.47723055;0.00032359;-0.00052376;0.00029839 
0.25500226;48.81739068;-0.00131279;-0.01592848;-1.47721541;-0.00365588;-0.00107391;-0.00805834 
0.25346398;49.07085466;-0.00129164;-0.01581481;-1.47690308;0.00054757;-0.00054411;-0.00428800 
0.24833417;49.31918883;-0.00136840;-0.01560121;-1.47663021;-0.00183924;-0.00156391;0.00533342 
0.26866817;49.58785701;-0.00112900;-0.01553574;-1.47672427;0.00008616;-0.00055049;0.00098278 
0.24468493;49.83254194;-0.00111603;-0.01570520;-1.47660339;0.00063573;-0.00049337;-0.00218910 
0.23816156;50.07070351;-0.00128176;-0.01605775;-1.47658002;-0.00142114;-0.00045991;-0.00420075 
0.24899602;50.31969953;-0.00125255;-0.01586710;-1.47644579;-0.00084055;-0.00169509;-0.00044213 
0.25895786;50.57865739;-0.00117905;-0.01595345;-1.47633469;-0.00065483;-0.00104420;0.00017031 
0.23419023;50.81284761;-0.00098518;-0.01603184;-1.47626746;0.00167505;0.00062328;-0.00323183 
0.25374722;51.06659484;-0.00105170;-0.01611087;-1.47626579;0.00037504;-0.00063824;-0.00238053 
0.25297689;51.31957173;-0.00119004;-0.01612366;-1.47631776;0.00128605;-0.00081671;-0.00488312 
0.25832653;51.57789826;-0.00122972;-0.01625146;-1.47603416;-0.00012518;0.00018626;-0.00050336 
0.25450826;51.83240652;-0.00142346;-0.01625790;-1.47600126;-0.00033071;0.00072336;0.00196124 
0.23849559;52.07090211;-0.00123734;-0.01634807;-1.47590613;-0.00094361;-0.00091617;0.00332568 
0.24631572;52.31721783;-0.00113500;-0.01628794;-1.47580528;0.00098835;0.00023363;0.00480077 
0.26011133;52.57732916;-0.00129729;-0.01629003;-1.47579193;-0.00041638;-0.00109443;0.00450994 
0.23978615;52.81711531;-0.00137062;-0.01624724;-1.47574651;-0.00064491;-0.00054510;0.00218295 
0.24823141;53.06534672;-0.00182373;-0.01647006;-1.47580779;-0.00022634;-0.00059540;0.00148322 
0.25821710;53.32356381;-0.00175483;-0.01629275;-1.47570682;0.00062454;-0.00083202;0.00231034 
0.25930142;53.58286524;-0.00174275;-0.01605528;-1.47560835;-0.00137704;-0.00145751;-0.00191069 
0.23420978;53.81707501;-0.00156414;-0.01601725;-1.47534764;-0.00062900;-0.00085091;-0.00057162 
0.25002980;54.06710482;-0.00142078;-0.01597032;-1.47538769;-0.00060402;-0.00115322;-0.00073824 
0.26517844;54.33228326;-0.00135900;-0.01593130;-1.47526097;-0.00030652;0.00010755;0.00037684 
0.26589084;54.59817410;-0.00138628;-0.01593373;-1.47510648;-0.00027043;-0.00035604;0.00128140 
